Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
no_1,no_1,,,,,,,,,,,,,,,,,,,,,,,,,,,* myContacts,Mobile,081283388151,unknown,,,,,,,
no_2,no_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388152,,,,,,,,
no_3,no_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388153,,,,,,,,
no_4,no_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388154,,,,,,,,
no_5,no_5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388155,,,,,,,,
no_6,no_6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388156,,,,,,,,
no_7,no_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388157,,,,,,,,
no_8,no_8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388158,,,,,,,,
no_9,no_9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388159,,,,,,,,
no_10,no_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388150,,,,,,,,
no_11,no_11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388161,,,,,,,,
no_12,no_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388162,,,,,,,,
no_13,no_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388163,,,,,,,,
no_14,no_14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388164,,,,,,,,
no_15,no_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388165,,,,,,,,
no_16,no_16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388166,,,,,,,,
no_17,no_17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388167,,,,,,,,
no_18,no_18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388168,,,,,,,,
no_19,no_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388169,,,,,,,,
no_20,no_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388160,,,,,,,,
no_21,no_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388171,,,,,,,,
no_22,no_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388172,,,,,,,,
no_23,no_23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388173,,,,,,,,
no_24,no_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388174,,,,,,,,
no_25,no_25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388175,,,,,,,,
no_26,no_26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388176,,,,,,,,
no_27,no_27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388177,,,,,,,,
no_28,no_28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388178,,,,,,,,
no_29,no_29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388179,,,,,,,,
no_30,no_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,081283388170,,,,,,,,
